park_no,address,zip,park_class,park_name
207,4052 S ELLIS AVE,60653,MINI-PARK,Holly
208,6600 S WOODLAWN AVE,60637,MINI-PARK,Flying Squirrel
209,2827 W ARTHINGTON ST,60612,UNIMPROVED PARK,Barberry
210,3228 W FLOURNOY ST,60624,MINI-PARK,Magnolia
211,1212 W 77TH ST,60620,COMMUNITY PARK,King
212,6525 N HIAWATHA AVE,60646,COMMUNITY PARK,Edgebrook
213,6200 S KIMBARK AVE,60637,MINI-PARK,Huckleberry
214,4347 S CALUMET AVE,60653,MINI-PARK,Pendleton
215,6646 S UNIVERSITY AVE,60637,MINI-PARK,Boswell
216,4639 N KENMORE AVE,60640,MINI-PARK,Aster
217,2734 W POLK ST,60612,MINI-PARK,Dogwood
218,3432 W 15TH ST,60623,MINI-PARK,Ginkgo
219,4648 N MALDEN ST,60640,MINI-PARK,Gooseberry
220,4637 S CHAMPLAIN AVE,60653,MINI-PARK,Honeysuckle
221,827 W 19TH ST,60608,MINI-PARK,Reyes
222,1422 S HAMLIN AVE,60623,MINI-PARK,Hornbeam
223,7334 S MARYLAND AVE,60619,MINI-PARK,Railroad Junction
224,1735 S STATE ST,60616,MINI-PARK,Lin
225,4120 W TAYLOR ST,60624,NEIGHBORHOOD PARK,Violet
226,4542 S GREENWOOD AVE,60653,NEIGHBORHOOD PARK,Brooks (Gwendolyn)
227,9400 S GREENWOOD AVE,60619,COMMUNITY PARK,Burnside
228,825 W SHERIDAN RD,60613,COMMUNITY PARK,Gill
229,517 W WISCONSIN ST,60614,NEIGHBORHOOD PARK,Bauler
230,6056 N LANDERS AVE,60646,NEIGHBORHOOD PARK,DeJulio
231,5473 S CORNELL AVE,60615,PASSIVE PARK,Cornell
232,9336 S KINGSTON AVE,60647,NEIGHBORHOOD PARK,Dougherty
233,7000 W 51ST PL,60638,NEIGHBORHOOD PARK,Stars & Stripes
234,7001 W 59TH ST,60638,COMMUNITY PARK,Valley Forge
235,4330 S KEDVALE AVE,60632,MINI-PARK,Catalpa
236,1800 W 115TH ST,60643,COMMUNITY PARK,Blackwelder
237,1844 N SHEFFIELD AVE,60614,MINI-PARK,Privet
238,1120 W 122ND ST,60643,NEIGHBORHOOD PARK,White (Edward)
239,2850 W AVONDALE AVE,60618,MINI-PARK,Grape
240,8116 S HALSTED ST,60620,UNIMPROVED PARK,Park 382
241,7053 N GLENWOOD AVE,60626,MINI-PARK,Goldberg
242,4913 N SHERIDAN RD,60640,NEIGHBORHOOD PARK,Buttercup
243,8385 S BIRKHOFF AVE,60620,COMMUNITY PARK,Jackson (Mahalia)
244,7221 S DOBSON AVE,60619,NEIGHBORHOOD PARK,Hoard
245,1420 N ARTESIAN AVE,60622,MINI-PARK,Park 399
246,8215 S EUCLID AVE,60617,MINI-PARK,Washington (Dinah)
247,1855 W HURON ST,60622,MINI-PARK,Snowberry
248,6340 N LAKEWOOD AVE,60660,MINI-PARK,D'Elia
249,711 W 60TH PL,60621,MINI-PARK,Edmonds
250,3656 N GREENVIEW AVE,60613,MINI-PARK,Juniper
251,1722 N ASHLAND AVE,60614,NEIGHBORHOOD PARK,Walsh
252,5426 S SHIELDS AVE,60609,NEIGHBORHOOD PARK,Malus
253,7526 S LOWE AVE,60621,NEIGHBORHOOD PARK,Leland Giants
254,534 N ALBANY AVE,60612,MINI-PARK,Snapping Turtle
255,8421 S MORGAN ST,60620,MINI-PARK,The Grove
256,3505 N SOUTHPORT AVE,60657,COMMUNITY PARK,Sheil CC
257,2342 W FLOURNOY ST,60612,NEIGHBORHOOD PARK,Claremont
258,2100 W LAWRENCE AVE,60625,MINI-PARK,Vogle
259,6551 S WOLCOTT AVE,60636,MINI-PARK,Wolcott
260,4856 S LAFLIN ST,60609,MINI-PARK,Packingtown
261,1126 E 80TH ST,60619,NEIGHBORHOOD PARK,DeBow
262,744 N PULASKI RD,60624,COMMUNITY PARK,Orr
263,4959 S ARCHER AVE,60632,COMMUNITY PARK,Curie
264,1825 N DAMEN AVE,60614,NEIGHBORHOOD PARK,Churchill Field
265,4302 W DIVISION ST,60651,UNIMPROVED PARK,Park 414
266,345 W 64TH ST,60621,MINI-PARK,Junction Grove
267,5058 W WEST END AVE,60644,MINI-PARK,Cottonwood
268,5949 W HURON ST,60644,MINI-PARK,Hazelnut
269,8001 S WABASH AVE,60619,UNIMPROVED PARK,Park 419
270,5554 N MAGNOLIA AVE,60640,MINI-PARK,Cochran
271,5300 S HALSTED ST,60609,UNIMPROVED PARK,Park 421
272,3200 W CONGRESS PKWY,60624,NEIGHBORHOOD PARK,Park 422
273,2021 N BURLING ST,60614,COMMUNITY PARK,Oz
274,4706 N PULASKI RD,60630,MINI-PARK,Spikings Farm
275,2645 N SHEFFIELD AVE,60614,MINI-PARK,Noethling
276,3501 S RICHMOND ST,60632,NEIGHBORHOOD PARK,Brighton
277,4807 W GUNNISON ST,60630,MINI-PARK,Ashmore
278,5558 S GREEN ST,60621,MINI-PARK,Luna
279,6621 N WESTERN AVE,60645,CITYWIDE PARK,Warren
280,650 N LEAMINGTON AVE,60644,MINI-PARK,Sweet Clover
281,2554 W MOFFAT ST,60647,MINI-PARK,Flower
282,3349 W RICE ST,60651,UNIMPROVED PARK,Park 432
283,2533 N SACRAMENTO AVE,60647,MINI-PARK,Neighbors' Garden
284,7687 S SOUTH CHICAGO AVE,60619,MINI-PARK,Essex
285,5400 N BROADWAY,60640,MINI-PARK,Bromann
286,100 W 66TH ST,60621,NEIGHBORHOOD PARK,Periwinkle
287,5653 S LOOMIS ST,60636,UNIMPROVED PARK,Park 437
288,7059 S SOUTH SHORE DR,60649,CITYWIDE PARK,South Shore CC
289,6931 S DAMEN AVE,60636,MINI-PARK,Drexel
290,4446-58 S. EMERALD AVE,60609,NEIGHBORHOOD PARK,McInerney
291,1400 W 109TH ST,60643,NEIGHBORHOOD PARK,Lamb
292,922 W FLETCHER ST,60657,MINI-PARK,Martin
293,4196 S STATE ST,60609,COMMUNITY PARK,Metcalfe
294,1747 W NELSON ST,60657,MINI-PARK,Wieboldt
295,1257 W COLUMBIA AVE,60626,MINI-PARK,Lazarus
296,300 W 24TH PL,60616,MINI-PARK,Sun Yat-Sen
297,5801 N PULASKI RD,60646,REGIONAL PARK,Peterson
298,2754 S TRUMBULL AVE,60623,MINI-PARK,Miami
299,2238 N OAKLEY AVE,60647,PASSIVE PARK,Senior Citizens Mem'l
300,62 W ROOSEVELT RD,60605,NEIGHBORHOOD PARK,Roosevelt
301,4556 W 56TH ST,60629,UNIMPROVED PARK,Park 468
302,5445 N CHESTER ST,60656,NEIGHBORHOOD PARK,Grandparents'
303,3231 W DOUGLAS BLVD,60616,PASSIVE PARK,Park 474
304,E 87TH ST AT THE LAKE,60617,PASSIVE PARK,Steelworkers
305,3400 N ROCKWELL AVE,60618,COMMUNITY PARK,Clark (Richard)
306,2701 E 74TH ST,60649,NEIGHBORHOOD PARK,Ashe Beach
307,5917 N BROADWAY,60660,COMMUNITY PARK,Broadway Armory
308,6239 N MCCLELLAN AVE,60646,PASSIVE PARK,Quinn
309,865 S PARK TER,60605,PASSIVE PARK,Dearborn
310,401 E RIVER DR,60611,LINEAR PARK,River Esplanade
311,429 N COLUMBUS DR,60611,PASSIVE PARK,Ogden Plaza
312,401 N LAKE SHORE DR,60611,UNIMPROVED PARK,DuSable
313,1240 S PLYMOUTH CT,60616,NEIGHBORHOOD PARK,Jones
314,44 W 15TH ST,60616,NEIGHBORHOOD PARK,Cotton Tail
315,300 W 18TH ST,60616,REGIONAL PARK,Ping Tom Mem'l
316,4437 N MAGNOLIA AVE,60640,MINI-PARK,Broncho Billy
317,1833 E 71ST ST,60649,COMMUNITY PARK,Nash CC
318,4701 W MARQUETTE RD,60638,COMMUNITY PARK,Madigan
319,4434 S LAKE PARK AVE,60653,COMMUNITY PARK,Kennicott
320,5001 N LEAVITT ST,60625,NEIGHBORHOOD PARK,Winnemac
321,1100 W IRVING PARK RD,60613,LINEAR PARK,Challenger
322,9516 S WOOD ST,60643,NATURE PRESERVE PARK,Ridge Park Wetlands
323,4433 S ST LAWRENCE,60653,COMMUNITY PARK,Armstrong
324,3800 N SEMINARY AVE,60613,LINEAR PARK,Kelly (John)
325,5200 S HYDE PARK BLVD,60615,NEIGHBORHOOD PARK,Washington (Harold)
326,4701 W BELMONT AVE,60641,MINI-PARK,Parsons
327,3601 W ARTHINGTON ST,60624,NEIGHBORHOOD PARK,Boler
328,2306 W MAYPOLE AVE,60612,NEIGHBORHOOD PARK,Starr
329,3925 E 104TH ST,60617,LINEAR PARK,Beniac Greenway
330,2701 S ASHLAND AVE,60608,LINEAR PARK,Canal Origins
331,730 S SPRINGFIELD AVE,60624,NEIGHBORHOOD PARK,Park 500
332,8900 S GREEN BAY AVE,60617,PASSIVE PARK,Schafer
333,1466 S WABASH AV,60605,NEIGHBORHOOD PARK,Coliseum
334,1300 W 79TH ST,60620,PASSIVE PARK,Renaissance
335,2139-59 W. LEXINGTON ST,60612,NEIGHBORHOOD PARK,Livingston Field
336,630 N KINGSBURY AVE,60610,NEIGHBORHOOD PARK,Montgomery Ward
337,1800 N ASHLAND AVE,60614,UNIMPROVED PARK,Park 512
338,900 E PERSHING RD.,60653,COMMUNITY PARK,Mandrake
339,7101 W 63RD ST,60638,PASSIVE PARK,Nottingham
340,7710 N PAULINA ST,60626,MINI-PARK,Washington (Harold) Mem'l
341,1401 S INDIANA AVE,60605,PASSIVE PARK,Webster
342,1434 N MONTICELLO AVE,60651,PASSIVE PARK,Park 514
343,3517 W ARTHINGTON ST,60624,COMMUNITY PARK,Homan Sq CC
344,2900 S ASHLAND AVE,60608,LINEAR PARK,Canalport Riverwalk
345,5914-5924 N SHERIDAN RD,60660,PASSIVE PARK,Park 517
346,1750 W JUNEWAY TER,60626,PASSIVE PARK,Triangle
347,1944 S ST. LOUIS AVE,60623,MINI-PARK,Park 519
348,916 N HONORE ST,60622,MINI-PARK,Honor�
349,1426 W WARNER AVE,60613,PASSIVE PARK,Warner Garden
350,1719 W WOLFRAM ST,60657,NEIGHBORHOOD PARK,Wang
351,6200 S DREXEL AVE,60637,COMMUNITY PARK,Harris (Harriet)
352,3200 W PETERSON AVE,60659,LINEAR PARK,Stone
353,6200 S LaSALLE ST,60621,UNIMPROVED PARK,Park 527
354,6336 S KILBOURN AVE,60629,NEIGHBORHOOD PARK,Park 528
355,2155 W WABANSIA AVE,60647,PASSIVE PARK,Park 529
356,3150 S WESTERN AVE,60608,PASSIVE PARK,Daley
357,2850 S HALSTED ST,60608,COMMUNITY PARK,Palmisano
358,4101 S. LAKE PARK AVE,60653,NEIGHBORHOOD PARK,Williams- Davis
359,5801 N PULASKI RD,60646,NATURE PRESERVE PARK,North Park Nature Ctr
360,1300 S ST LOUIS AVE,60623,NEIGHBORHOOD PARK,Park 534
361,800 W WISCONSIN ST,60614,MINI-PARK,Park 535
362,1401 N NOBLE ST,60622,PASSIVE PARK,Park 536
363,610-30 W ADAMS ST,60661,PASSIVE PARK,Heritage Green
364,6400 N KEDZIE,60645,LINEAR PARK,Park 538
365,2200 N KEDZIE AVE,60647,COMMUNITY PARK,Palmer Sq
366,2401 S FEDERAL ST,60616,NEIGHBORHOOD PARK,Park 540
367,301-52 S STATE ST,60604,PASSIVE PARK,Pritzker
368,115 S. SANGAMON ST,60602,NEIGHBORHOOD PARK,Bartelme
369,10609-15 S WESTERN AVE,60643,PASSIVE PARK,King- Lockhart
370,640 S. FEDERAL ST.,60605,PASSIVE PARK,Park 543
371,3538-40 N LINCOLN AVE,60657,PASSIVE PARK,Klein
372,450 E. BENTON PLACE,60611,NEIGHBORHOOD PARK,Park 546
373,1801 S CALUMET AVE,60616,PASSIVE PARK,Battle of Fort Dearborn
375,2430 W LOGAN BLVD,60647,NEIGHBORHOOD PARK,Logan Sq Skate Park
376,1801 S INDIANA AVE,60616,NEIGHBORHOOD PARK,Chicago Women's
377,353 N DES PLAINES ST,60661,NEIGHBORHOOD PARK,Park 551
378,4901 W BELMONT AVE,60641,PASSIVE PARK,Park 552
379,2800 S SACRAMENTO AVE,60608,COMMUNITY PARK,La Villita
380,1805 N ALBANY AVE,60647,NEIGHBORHOOD PARK,De Burgos
381,4400 W DEVON AVE,60626,LINEAR PARK,Sauganash Trail
382,2529 W LOGAN BLVD,60647,PASSIVE PARK,Park 556
383,7211-7355 N KEDZIE AVE,60645,LINEAR PARK,North Boundary
384,6151 N SHERIDAN RD,60660,PASSIVE PARK,Park 559
385,410 W CHICAGO AVE,60654,COMMUNITY PARK,White (Jesse)
386,1629 S WABASH,60616,PASSIVE PARK,Anderson (Fred)
387,1735-37 E 96TH ST,60643,NATURE PRESERVE PARK,Byrnes
388,13000 S TORRENCE AVE,60633,NATURE PRESERVE PARK,Hegewisch Marsh
389,11555 S STONY ISLAND AVE,60617,NATURE PRESERVE PARK,Big Marsh
390,7901 S FARRAGUT,60617,UNIMPROVED PARK,Park 566
391,1799 N MILWAUKEE AVE,60647,PASSIVE PARK,Park 567
392,5601 N WESTERN AVE,60659,NATURE PRESERVE PARK,Park 568
393,1358 W MONROE ST,60607,PASSIVE PARK,Park 569
394,1230 W SCHOOL ST,60657,MINI-PARK,Donahue
395,2754-2860 S ELEANOR ST,60608,NEIGHBORHOOD PARK,Park 571
396,701 E 114TH ST,60628,PASSIVE PARK,Park 573
397,2540 W JACKSON BLVD,60612,NEIGHBORHOOD PARK,Park 574
398,2100 E 134TH ST,60633,NATURE PRESERVE PARK,Park 576
399,2250 N CLIFTON AVE,60614,NEIGHBORHOOD PARK,Trebes
400,11505 S. WESTERN AV,60643,COMMUNITY PARK,Morgan Park Sports Ctr
401,1919 W MAYPOLE AVE,60612,NEIGHBORHOOD PARK,Park 578
402,4030 N OAK PARK AVE,60634,UNIMPROVED PARK,Park 580
403,11625 S OAKLEY AVE,60643,PASSIVE PARK,Park 581
404,2873 E 75TH ST,60649,CITYWIDE PARK,Rainbow Beach
405,4501 N CLARENDON AVE,60640,COMMUNITY PARK,Clarendon CC
406,1725 N SPRINGFIELD AVE,60647,NEIGHBORHOOD PARK,Beilfuss
407,5705 S SHIELDS AVE,60621,COMMUNITY PARK,Sherwood
408,9729 S YATES AVE,60617,NEIGHBORHOOD PARK,Bradley
409,346 W 104TH ST,60628,PASSIVE PARK,Block
410,1845 W RICE ST,60622,COMMUNITY PARK,Commercial Club
411,5839 S WOOD ST,60636,NEIGHBORHOOD PARK,Hermitage
412,1330 E 50TH ST,60615,COMMUNITY PARK,Kenwood Comm.
413,5210 W 64TH ST,60638,COMMUNITY PARK,Lawler
414,8335 S HONORE ST,60620,COMMUNITY PARK,O'Hallaren
415,1222 W TOUHY AVE,60626,COMMUNITY PARK,Leone Beach
416,2526 W GRAND AVE,60612,COMMUNITY PARK,Smith (Joseph Higgins)
417,4347 W 54TH ST,60632,NEIGHBORHOOD PARK,Strohacker
418,3225 S RACINE AVE,60608,COMMUNITY PARK,Wilson (John) CC
419,1919 N SEMINARY AVE,60614,NEIGHBORHOOD PARK,Adams (George & Adele)
420,3748 S PRAIRIE AVE,60653,COMMUNITY PARK,Anderson (Louis)
421,4431 W AUGUSTA BLVD,60651,NEIGHBORHOOD PARK,Augusta
422,2022 W CERMAK RD,60608,NEIGHBORHOOD PARK,Barrett
423,3044 S BONFIELD ST,60608,NEIGHBORHOOD PARK,Bosley
424,1313 S THROOP ST,60608,NEIGHBORHOOD PARK,Fosco
425,647 W ROOT ST,60609,NEIGHBORHOOD PARK,Taylor- Lauridsen
426,4615 W JACKSON BLVD,60644,NEIGHBORHOOD PARK,Clark (John)
427,1356 N DEAN ST,60622,NEIGHBORHOOD PARK,Dean
