park_no,address,zip,park_class,park_name
518,607 N HARDING AVE,60624,MINI-PARK,Ohio & Harding
519,4712 W OHIO ST,60644,MINI-PARK,Ohio
520,5640 N PULASKI RD,60646,MINI-PARK,Brynford
521,2528 N RACINE AVE,60614,MINI-PARK,Supera
522,667 W ROSCOE ST,60657,MINI-PARK,Wendt
523,3520 N SACRAMENTO AVE,60618,NEIGHBORHOOD PARK,Sacramento
524,2415 N MARSHFIELD AVE,60614,MINI-PARK,Schaefer
525,347 N ST LOUIS AVE,60624,MINI-PARK,Saint Louis
526,2101 W SUPERIOR ST,60612,MINI-PARK,Superior
527,7262 W SUMMERDALE AVE,60656,MINI-PARK,Summerdale
528,6410 S ELLIS AVE,60637,MINI-PARK,Till-Mobley
529,871 N WABASH AVE,60611,PARKWAYS PARK,Connors
530,1822 W LARCHMONT AVE,60613,MINI-PARK,Filbert
531,2835 S WALLACE ST,60616,MINI-PARK,Sintic
532,1811 S THROOP ST,60608,NEIGHBORHOOD PARK,Throop
533,2941 N WASHTENAW AVE,60618,MINI-PARK,Algonquin
534,600 W 36TH ST,60609,MINI-PARK,McKeon
535,4100 W WEST END AVE,60624,NEIGHBORHOOD PARK,Mason
536,907 N WESTERN AVE,60622,MINI-PARK,Western
537,745 W WRIGHTWOOD AVE,60614,MINI-PARK,Park West
538,7535 S DOBSON AVE,60619,PASSIVE PARK,Adams (John)
539,11144 S ST LAWRENCE AVE,60628,PASSIVE PARK,Arcade
540,406 W WINNECONNA PKWY,60620,PASSIVE PARK,Auburn
541,5951 W LAKE ST,60644,LINEAR PARK,Austin
542,10441 S LONGWOOD DR,60643,NEIGHBORHOOD PARK,Barnard
543,401 W BELDEN AVE,60614,PARKWAY PARK,Mid-North
544,1438 W OHIO ST,60622,PASSIVE PARK,Bickerdike Sq
545,632 W 71ST ST,60621,LINEAR PARK,Lily Gardens
546,4233 S GREENWOOD AVE,60653,PARKWAY PARK,Chamberlain Triangle
547,8931 S DAUPHIN AVE,60619,LINEAR PARK,Dixon
548,4117 N LAVERGNE AVE,60641,NEIGHBORHOOD PARK,Dickinson
